feature,importance
x2_S2 radii ionic (Yagoda) (A),0.23833246678262535
x_d_A1 atomic number,0.11981615135070603
x_d_C13 poissons ratio,0.09040300966220606
x_d_E5 energy ionization first (kJ mol-1),0.08769960254725909
x1_S2 radii ionic (Yagoda) (A),0.08043666454677559
x_d_A2 atomic weight (10-3 kg),0.04758204273859
x_d_C12 thermal conductivity(W/(m·K)),0.034047281578968074
x_r_E5 energy ionization first (kJ mol-1),0.030010480865991153
x_r_E12 charge nuclear effective (Clementi),0.022187717007139583
x1_E5 energy ionization first (kJ mol-1),0.017111337970199692
x_r_G1 group number ,0.01554725888529661
x2_G4 valence electron of orbital d,0.013471556851282492
x1_C17 coefficient of linear thermal expansion(10-6 k-1),0.012058448772012087
x_d_E12 charge nuclear effective (Clementi),0.009856640550324116
x2_C13 poissons ratio,0.00911197279462695
x_d_S2 radii ionic (Yagoda) (A),0.006742019482410068
x2_C15 diffusion coefficient D0,0.006558633034704507
x_d_A3 mass attenuation coefficient for MoKalpha (cm2 g-1),0.006005668971075936
x_d_S5 distance valence electron (Schubert) (A),0.005044984946131356
x1_S11 lattice constant a (pm),0.004945321738205836
x1_C16 specific heat capacity(J/(kg K)),0.0048870129590753
x_r_S16 density(g/cm3),0.004886821708120966
x_d_C16 specific heat capacity(J/(kg K)),0.004506502300161676
x_r_E13 electrical resistivity(10-8ohmm),0.004258193987462204
x1_C12 thermal conductivity(W/(m·K)),0.004172402546454566
x1_C3 enthalpy vaporization (kJ mol-1),0.0041679160292589406
x_d_E1 electronegativity (Martynov&Batsanov) ,0.0038186315891296342
x2_E5 energy ionization first (kJ mol-1),0.003775873951948179
x1_S12 lattice constant b (pm),0.003394846115727422
x_r_A2 atomic weight (10-3 kg),0.0033450333979800307
x2_E4 electronegativity absolute  ,0.0033175997722928703
x_d_E15 Corrosion potential in seawater(V),0.003253843854772104
x1_A7 atomic electron scattering factor at 0.5,0.003080676427155479
x_r_S2 radii ionic (Yagoda) (A),0.003021014830371922
x_r_C6 enthalpy surface Miedema (kJ mol-1),0.002898320989302399
x2_S12 lattice constant b (pm),0.002854281858190918
x_r_S11 lattice constant a (pm),0.002803521790785302
x1_E13 electrical resistivity(10-8ohmm),0.0025960748940598373
x2_C12 thermal conductivity(W/(m·K)),0.0024677619903374294
x2_E14 Standard electrode potential(ev),0.0023929754142252226
x2_A1 atomic number,0.0021745059761688512
x1_A2 atomic weight (10-3 kg),0.002034016964016424
x2_E13 electrical resistivity(10-8ohmm),0.001975625797313395
x_d_G1 group number ,0.0019685453391211994
x_r_S13 lattice constant c (pm),0.0019316943118733974
x_r_C7 enthalpy vacancies Miedema (kJ mol-1),0.0018943802693948055
x_d_S6 distance core electron (Schubert) (A),0.001884965025623667
x1_C10 modulus bulk (GPa),0.001648307446934378
x2_C18 weighted surface energy(J/m2),0.001640387228275433
x2_S11 lattice constant a (pm),0.0016307699465247596
x2_E6 energy ionization second (kJ mol-1),0.0016247384156839952
x_d_A6 mass attenuation coefficient FeKalpha (cm2 g-1),0.0016227711907592587
x_d_E14 Standard electrode potential(ev),0.0016170820243305742
x2_A2 atomic weight (10-3 kg),0.0014969238150165341
x_r_S12 lattice constant b (pm),0.0014636416632775185
x_d_S14 velocity of sound(m/s),0.0013949900165155596
x_r_C16 specific heat capacity(J/(kg K)),0.001376543180265527
x_d_A5 mass attenuation coefficient for CuKalpha (cm2 g-1),0.001335767269633833
x_d_S18 Slip system,0.001287522523472494
x_d_S13 lattice constant c (pm),0.001271331782227128
x_d_S11 lattice constant a (pm),0.0012635126932267562
x_d_S4 radii metal (Waber) (A),0.001254050476499464
x_r_C18 weighted surface energy(J/m2),0.0012461528042683053
x2_C16 specific heat capacity(J/(kg K)),0.0012435468538369548
x2_S13 lattice constant c (pm),0.001207195354538287
x1_E6 energy ionization second (kJ mol-1),0.0011965797180195851
x2_C17 coefficient of linear thermal expansion(10-6 k-1),0.0010758864993913617
x1_C18 weighted surface energy(J/m2),0.0010456665324832057
x_d_E3 electronegativity (Alfred-Rochow)  ,0.0010261936138003826
x2_E15 Corrosion potential in seawater(V),0.0009995666180333575
x1_S4 radii metal (Waber) (A),0.0009169163975516546
x1_S18 Slip system,0.0008823425159661853
x_r_E11 nuclear charge effective (Slater),0.0008731358066289037
x_r_S4 radii metal (Waber) (A),0.0008524258339638259
x_d_C14 diffusion activation energy in Al(kJ mol-1),0.0008490359645900337
x1_C4 enthalpy melting (kJ mol-1),0.0008441641899130955
x1_C13 poissons ratio,0.0008232373455175611
x1_C20 modulus Young (GPa),0.0008214442471585596
x_r_C11 modulus rigidity (GPa),0.000765933853264379
x2_S15 burger vector(pm),0.0006907940748558842
x_r_A7 atomic electron scattering factor at 0.5,0.0006868896661790258
x_d_C11 modulus rigidity (GPa),0.000677688698078492
x_r_A6 mass attenuation coefficient FeKalpha (cm2 g-1),0.0006395271817157858
x_r_C14 diffusion activation energy in Al(kJ mol-1),0.0006323219037134096
x_d_S12 lattice constant b (pm),0.0006273170376327642
x1_G3 valence electron of orbital p,0.000609985373760715
