feature,importance
x2_S2 radii ionic (Yagoda) (A),0.1500567
x_d_A1 atomic number,0.099472925
x_d_A2 atomic weight (10-3 kg),0.08994461
x_d_C13 poissons ratio,0.070457935
x1_C16 specific heat capacity(J/(kg K)),0.042691723
x_r_E5 energy ionization first (kJ mol-1),0.030716183
x2_C13 poissons ratio,0.025442623
x2_S11 lattice constant a (pm),0.020908244
x2_E5 energy ionization first (kJ mol-1),0.020242354
x1_A1 atomic number,0.020086737
x1_G4 valence electron of orbital d,0.018164083
x1_E5 energy ionization first (kJ mol-1),0.013374444
x_d_E12 charge nuclear effective (Clementi),0.012880614
x_r_G1 group number ,0.012396325
x1_S2 radii ionic (Yagoda) (A),0.012369886
x1_A3 mass attenuation coefficient for MoKalpha (cm2 g-1),0.010973266
x1_S11 lattice constant a (pm),0.010673982
x_r_A2 atomic weight (10-3 kg),0.010410193
x_r_E9 work function (eV),0.009329185
x_r_S16 density(g/cm3),0.009153758
x_d_S2 radii ionic (Yagoda) (A),0.009107436
x2_C16 specific heat capacity(J/(kg K)),0.009069529
x2_C5 enthalpy atomization (kJ mol-1),0.0084884055
x2_A1 atomic number,0.008227509
x_d_C16 specific heat capacity(J/(kg K)),0.0069007203
x_r_S2 radii ionic (Yagoda) (A),0.006155427
x_d_C12 thermal conductivity(W/(m·K)),0.005667612
x_d_E15 Corrosion potential in seawater(V),0.005513302
x_d_A3 mass attenuation coefficient for MoKalpha (cm2 g-1),0.0046230536
x_d_E5 energy ionization first (kJ mol-1),0.0045657316
x_r_S14 velocity of sound(m/s),0.0044521485
x1_C18 weighted surface energy(J/m2),0.004014051
x1_C8 energy cohesive Brewer (J mol-1),0.00381985
x_d_S16 density(g/cm3),0.0037544302
x_r_C13 poissons ratio,0.0036943662
x1_C3 enthalpy vaporization (kJ mol-1),0.0035925356
x2_S13 lattice constant c (pm),0.0034980127
x1_C4 enthalpy melting (kJ mol-1),0.003358043
x2_C2 temperature boiling (K),0.0032276849
x2_C15 diffusion coefficient D0,0.0032177598
x1_S18 Slip system,0.0031374188
x_d_G4 valence electron of orbital d,0.0031349696
x_d_G1 group number ,0.0030442465
x1_S16 density(g/cm3),0.003019896
x_d_S5 distance valence electron (Schubert) (A),0.0029569846
x_r_S13 lattice constant c (pm),0.0029383095
x_r_C2 temperature boiling (K),0.0027020888
x_d_S1 coordination number,0.0025593613
x1_G1 group number ,0.002550102
x1_C12 thermal conductivity(W/(m·K)),0.0024363706
x_d_G2 valence electron of orbital s,0.0023174495
x2_C19 diffusion activation energy(kJ mol-1),0.0022398527
x1_G3 valence electron of orbital p,0.0021315273
x2_C12 thermal conductivity(W/(m·K)),0.0021084014
x_r_E6 energy ionization second (kJ mol-1),0.0020893274
x_d_C6 enthalpy surface Miedema (kJ mol-1),0.0020062288
x_r_E14 Standard electrode potential(ev),0.0019238674
